year,group,rli,qn_95,qn_05,n,group_sample_sizes
1996,Mammal,0.8488230225745305,0.8504428743753231,0.8474547647768396,40,"{""Mammal"",5803}"
1997,Mammal,0.8483171778964903,0.8499645298408869,0.846908064794072,40,"{""Mammal"",5803}"
1998,Mammal,0.8478113332184503,0.8494861853064506,0.8463613648113045,40,"{""Mammal"",5803}"
1999,Mammal,0.8473054885404101,0.8490078407720144,0.845814664828537,40,"{""Mammal"",5803}"
2000,Mammal,0.84679964386237,0.8485294962375782,0.8452679648457694,40,"{""Mammal"",5803}"
2001,Mammal,0.8462937991843299,0.848051151703142,0.8447212648630019,40,"{""Mammal"",5803}"
2002,Mammal,0.8457879545062899,0.8475728071687059,0.8441745648802343,40,"{""Mammal"",5803}"
2003,Mammal,0.8452821098282497,0.8470944626342696,0.8436278648974668,40,"{""Mammal"",5803}"
2004,Mammal,0.8447762651502095,0.8466161180998334,0.8430811649146993,40,"{""Mammal"",5803}"
2005,Mammal,0.8442704204721695,0.8461377735653972,0.8425344649319317,40,"{""Mammal"",5803}"
2006,Mammal,0.8437645757941293,0.8456594290309609,0.8419877649491642,40,"{""Mammal"",5803}"
2007,Mammal,0.8432587311160893,0.8451810844965247,0.8414410649663967,40,"{""Mammal"",5803}"
2008,Mammal,0.8427528864380491,0.8447027399620886,0.8408943649836291,40,"{""Mammal"",5803}"
1980,Amphibian,0.7648046436150293,0.7665085507427287,0.7633716140307077,40,"{""Amphibian"",8011}"
1981,Amphibian,0.7639358642283527,0.7656564931552449,0.7624994798818291,40,"{""Amphibian"",8011}"
1982,Amphibian,0.763067084841676,0.764804435567761,0.7616273457329505,40,"{""Amphibian"",8011}"
1983,Amphibian,0.7621983054549993,0.763952377980277,0.7607552115840719,40,"{""Amphibian"",8011}"
1984,Amphibian,0.7613295260683227,0.7631003203927932,0.7598830774351932,40,"{""Amphibian"",8011}"
1985,Amphibian,0.7604607466816461,0.7622482628053093,0.7590109432863146,40,"{""Amphibian"",8011}"
1986,Amphibian,0.7595919672949694,0.7613962052178255,0.758138809137436,40,"{""Amphibian"",8011}"
1987,Amphibian,0.7587231879082927,0.7605441476303416,0.7572666749885574,40,"{""Amphibian"",8011}"
1988,Amphibian,0.7578544085216161,0.7596920900428578,0.7563945408396787,40,"{""Amphibian"",8011}"
